,date,coord_pol_az,coord_pol_r,lon,lat,height,meanval
53,2016-06-24 10:15:00,167,167,"52,7202805526934","8,15491062684679","903,73782755807","3,81620276950557"
54,2016-06-24 10:15:00,167,169,"52,7202805526934","8,16951745545384","875,183932866901","2,79754964699005"
55,2016-06-24 10:15:00,168,160,"52,7280887758126","8,103867261306","904,311625234783","2,95444425169764"
56,2016-06-24 10:15:00,168,161,"52,7280887758126","8,1111515107996","871,290435198694","2,8699185041518"
57,2016-06-24 10:15:00,168,162,"52,7280887758126","8,11843831148261","838,151690512896","2,54154776139506"
58,2016-06-24 10:15:00,168,164,"52,7280887758126","8,13301957145582","926,413663828746","2,49904915844572"
59,2016-06-24 10:15:00,168,165,"52,7280887758126","8,14031403326712","931,939024347812","3,47594454113779"
60,2016-06-24 10:15:00,168,166,"52,7280887758126","8,14761105131004","937,464324757457","4,1250753418125"
61,2016-06-24 10:15:00,168,167,"52,7280887758126","8,15491062684679","903,73782755807","4,59884047302707"
62,2016-06-24 10:15:00,168,168,"52,7280887758126","8,16221276114022","869,893784034997","4,14460718785894"
63,2016-06-24 10:15:00,168,169,"52,7280887758126","8,16951745545384","875,183932866901","3,72108604681903"
64,2016-06-24 10:15:00,168,170,"52,7280887758126","8,17682471105186","880,474023943767","3,75545199318179"
65,2016-06-24 10:15:00,169,167,"52,7358964862925","8,15491062684679","903,73782755807","3,30557969777749"
66,2016-06-24 10:15:00,169,168,"52,7358964862925","8,16221276114022","869,893784034997","3,2373024256065"
67,2016-06-24 10:15:00,169,169,"52,7358964862925","8,16951745545384","875,183932866901","3,77725694200088"
68,2016-06-24 10:15:00,169,170,"52,7358964862925","8,17682471105186","880,474023943767","3,62201244152825"
69,2016-06-24 10:20:00,78,176,"52,0233549062106","8,22072210248878","952,404922753573","2,82720100982436"
70,2016-06-24 10:20:00,78,177,"52,0233549062106","8,22804732252976","917,503026105464","2,3293073136231"
71,2016-06-24 10:20:00,79,175,"52,0312068025512","8,21339945259988","987,189285894856","2,23173227238244"
72,2016-06-24 10:20:00,79,176,"52,0312068025512","8,22072210248878","952,404922753573","2,73922351362376"
73,2016-06-24 10:20:00,86,172,"52,0861569052502","8,191446911161","930,775702463463","2,65988380795923"
74,2016-06-24 10:20:00,137,89,"52,4857979150215","7,59312880036379","1506,23156541958","3,36694505373979"
75,2016-06-24 10:20:00,137,90,"52,4857979150215","7,6002350942137","1459,92126586847","3,26227288050898"
76,2016-06-24 10:20:00,137,91,"52,4857979150215","7,60734385149061","1413,49353448115","2,95521879042017"
77,2016-06-24 10:20:00,138,89,"52,4936212893757","7,59312880036379","1506,23156541958","3,32657643227742"
78,2016-06-24 10:20:00,138,90,"52,4936212893757","7,6002350942137","1459,92126586847","3,5648396973466"
79,2016-06-24 10:20:00,138,91,"52,4936212893757","7,60734385149061","1413,49353448115","3,27990205534573"
80,2016-06-24 10:20:00,139,89,"52,5014441657751","7,59312880036379","1506,23156541958","2,98961841237956"
81,2016-06-24 10:20:00,159,149,"52,6577963716898","8,02390853580005","1612,26966171525","2,56068111288136"
82,2016-06-24 10:20:00,160,148,"52,665608678237","8,01665480257249","1649,28886580467","2,79462548268252"
83,2016-06-24 10:20:00,160,149,"52,665608678237","8,02390853580005","1612,26966171525","3,05878808786129"
84,2016-06-24 10:20:00,160,150,"52,665608678237","8,03116480515345","1575,13294176757","3,0423880723016"
85,2016-06-24 10:20:00,161,150,"52,6734204760739","8,03116480515345","1575,13294176757","2,54213708433612"
86,2016-06-24 10:20:00,161,151,"52,6734204760739","8,03842361188442","1537,87870750017","2,48381095096983"
87,2016-06-24 10:20:00,161,153,"52,6734204760739","8,05294884248903","1703,93750089407","2,49832513311814"
88,2016-06-24 10:20:00,161,154,"52,6734204760739","8,06021526886934","1666,33073296212","2,66267326988023"
89,2016-06-24 10:20:00,162,155,"52,6812317647098","8,06748423764049","2467,44742628559","2,55100218514944"
90,2016-06-24 10:20:00,162,161,"52,6812317647098","8,1111515107996","1698,56357631087","2,87297737084586"
91,2016-06-24 10:20:00,163,159,"52,689042543654","8,0965855617429","1764,48840036616","3,28568303276753"
92,2016-06-24 10:20:00,163,160,"52,689042543654","8,103867261306","1731,58476634696","3,64268925786018"
93,2016-06-24 10:20:00,163,161,"52,689042543654","8,1111515107996","1698,56357631087","3,31087237904812"
94,2016-06-24 10:20:00,163,162,"52,689042543654","8,11843831148261","1753,21369580179","3,26610628592557"
95,2016-06-24 10:20:00,163,163,"52,689042543654","8,12572766461462","1719,95739784464","3,08324779621486"
96,2016-06-24 10:20:00,164,160,"52,6968528124155","8,103867261306","1731,58476634696","3,30676395625904"
